state,county,tract,intptlat,intptlon,alandsqkm,dist_to_bigcity,population15,unitstot15,natpctfor15,povpctind15,povpctfam15,racpctwhi15,tenpctown15,tenpctren15,unitpct2pl15,occpctvac15,compcttra15,compctwlk15,compctbic15,compctdrv15,medhhinc15,medhhval15,medgrossrent15,medrooms15,unemprate15,labpartrate15,population21,unitstot21,povpctind21,natpctfor21,povpctfam21,racpctwhi21,tenpctown21,tenpctren21,unitpct2pl21,occpctvac21,compcttra21,compctwlk21,compctbic21,compctdrv21,medhhinc21,medhhval21,medgrossrent21,medrooms21,unemprate21,labpartrate21
39,153,530903,41.0815789,-81.4100293,9.583374,163907.8235,5161,1843,3.332687464,5.432673652,3.716448727,95.27223406,90.9610984,9.038901602,0.651112317,5.154639175,0.351288056,0.6245121,0,95.78454333,69231,160400,1045,7,7.168079096,67.55725191,5101,1894,3.986645719,0.411683984,2.644067797,97.98078808,97.04459968,2.955400322,0.369588173,1.742344245,0.286298569,0.327198364,0,88.91615542,89583,193800,1142,6.8,1.778121376,62.38244514
39,113,10100,39.7192451,-84.1787984,2.507302,239113.1911,2044,806,3.082191781,1.531620553,0,96.7221135,86.98979592,13.01020408,16.62531017,2.729528536,0,0.305498982,0,91.24236253,125000,325400,1112,9,1.587301587,62.41486068,2237,888,0.806451613,5.096110863,0,94.27805096,86.40996602,13.59003398,14.3018018,0.563063063,0,0.844594595,0.422297297,85.05067568,163393,381200,1595,10,1.252086811,69.48955916
39,61,20762,39.213516,-84.5780794,1.688662,41312.75652,3114,1349,2.633269107,30.95084088,24.17739628,73.08927425,60.693153,39.306847,32.76501112,12.30541142,0.787965616,2.578796562,0,92.0487106,37153,99500,668,5.5,10.28277635,65.48821549,3284,1387,12.17044758,4.445797808,8.813160987,59.98781973,62.66562744,37.33437256,29.41600577,7.498197549,2.331141662,0.597728631,0,93.1858936,53389,97300,796,5.3,1.876832845,72.64593098
39,61,20802,39.1740428,-84.6063367,7.829423,30255.78274,5782,2061,0.830162574,6.572120374,4.399524376,93.86025597,86.06965174,13.93034826,6.889859292,2.474526929,0.402414487,0.503018109,0,93.25955734,74387,168400,1173,6.4,7.241910632,69.35242573,5277,2002,3.522771506,2.520371423,5.187969925,78.64316847,92.60450161,7.395498392,8.091908092,6.793206793,1.090512541,1.817520901,0,83.0607052,99333,159700,842,6.9,1.248216833,70.62972292
39,61,20811,39.1870132,-84.5870788,4.771794,31702.07624,6426,2842,3.267973856,6.764339152,2.347680268,74.08963585,65.23323615,34.76676385,30.64743139,3.448275862,2.383003158,0.861326443,0,94.2865346,62639,131000,701,5.9,3.896103896,74.14030261,5644,2693,3.92470254,7.051736357,3.39869281,70.7654146,73.40292276,26.59707724,33.67991088,11.06572596,0.429338104,0,0,92.12880143,68169,140600,838,5.6,3.269484808,72.98144131
39,61,20812,39.1957961,-84.6182224,5.308309,39660.09542,4155,1914,2.430806258,6.919912896,5.959684487,94.87364621,78.50678733,21.49321267,30.77324974,7.62800418,0.62532569,1.928087546,0,93.17352788,71007,190000,637,6.7,5.252918288,59.26780052,4508,1975,4.246236801,0.399290151,0.97640358,96.71694765,81.13011923,18.86988077,26.02531646,2.329113924,1.21898128,0.653025686,0,90.24814976,83655,209200,966,6.8,2.441077441,63.61445783
39,113,10200,39.7209811,-84.169007,3.178482,240186.8126,7074,2880,3.067571388,3.966567502,2.548476454,97.13033644,80.59360731,19.40639269,12.36111111,8.75,0,0,0,95.7159976,99531,210900,988,7.1,1.550160866,67.68956642,7233,2968,3.68287883,5.433430112,1.427165354,90.99958523,80.51282051,19.48717949,11.08490566,8.018867925,0,3.9552433,1.35310955,85.24590164,117702,242200,1512,6.4,1.755765199,72.58892905
39,113,20100,39.7160856,-84.1906401,3.628008,237901.9597,2811,1483,1.636428317,12.41923905,9.167842031,92.77837069,60.38151137,39.61848863,32.97370196,8.091706001,0.445434298,2.078693393,0,89.23533779,46979,110800,702,5.5,9.198423127,69.27628584,2698,1396,12.61127596,4.52186805,11.53238547,89.14010378,71.47514262,28.52485738,22.56446991,12.10601719,0,0.845665962,0.352360817,87.03312192,63897,130200,867,5.9,1.671309192,65.63071298
39,113,20200,39.6996282,-84.1991662,2.378906,231989.1257,2939,1352,0.74855393,10.95588235,9.558823529,96.46138142,61.5936255,38.4063745,25.88757396,7.174556213,0,4.685314685,0,90.55944056,53613,100600,893,5.5,8.097686375,65.54338669,2926,1364,7.260726073,1.025290499,4.751131222,88.58509911,76.10976594,23.89023406,20.52785924,9.164222874,8.420365535,3.263707572,0,78.06788512,68590,129500,1087,5.8,3.287841191,63.41463415
39,113,125102,39.8764491,-84.2976297,8.46427,280215.1803,6151,2989,2.763778247,11.57460841,9.020618557,86.75012193,71.30144605,28.69855395,24.25560388,9.769153563,0.695410292,1.529902643,0,96.59248957,50740,103800,714,5.8,8.701174976,63.33467418,5946,3142,5.136159945,1.664984864,2.402022756,75.41204171,67.50877193,32.49122807,28.93061744,9.293443666,0,0.783085356,0,94.47924824,55579,121200,799,5.6,4.201680672,57.82801606
