state,county,tract,intptlat,intptlon,alandsqkm,dist_to_rail,dist_to_bigcity,population15,unitstot15,natpctfor15,povpctind15,povpctfam15,racpctwhi15,tenpctown15,tenpctren15,unitpct2pl15,occpctvac15,compcttra15,compctwlk15,compctbic15,compctdrv15,medhhinc15,medhhval15,medgrossrent15,medrooms15,unemprate15,labpartrate15,population21,unitstot21,povpctind21,natpctfor21,povpctfam21,racpctwhi21,tenpctown21,tenpctren21,unitpct2pl21,occpctvac21,compcttra21,compctwlk21,compctbic21,compctdrv21,medhhinc21,medhhval21,medgrossrent21,medrooms21,unemprate21,labpartrate21,density_population15,density_population21,density_unitstot15,density_unitstot21,change_population,change_unit,change_medhhinc,change_medhhval,change_medgrossrent,tracts_shrank_population,tracts_grew_population,added_100_units,lost_100_units
34,29,731102,39.903162,-74.163376,8.9321,64452.50386,273984.7604,5984,2425,6.634358289,6.168286959,5.193992491,89.13770053,78.54971776,21.45028224,18.55670103,5.030927835,1.84169279,0.313479624,0.0,95.68965517,70795,254800,923,6.1,9.156378601,61.14489411,7065,2525,12.84741917,10.8138712,4.879385965,72.82377919,71.66392092,28.33607908,20.31683168,3.841584158,2.971535815,0.50046919,0.0,85.04848295,90662,292700,1280,6.3,9.581005587,66.55512177,669.9432384321716,790.9674096796946,271.4927060825562,282.6882815911152,1081,100,19867,37900,357,0,1,0,0
34,5,700102,39.9997291,-75.0212762,1.398482,0.0,39320.05989,2712,1166,5.494100295,3.588605253,4.722222222,84.36578171,82.93384468,17.06615532,19.55403087,10.54888508,1.822004205,2.873160477,0.0,91.87105816,73802,182700,986,6.2,8.585546634,70.17771998,2306,1067,8.439003061,4.076322637,5.25477707,94.62272333,87.77056277,12.22943723,4.311152765,13.40206186,3.614457831,1.526104418,1.445783133,82.89156627,103500,199800,1594,6.8,7.97366496,70.68252327,1939.245553392893,1648.9307692197683,833.7611781917823,762.9701347604044,-406,-99,29698,17100,608,1,0,0,0
34,29,731206,39.9727578,-74.2495047,1.729459,66083.44246,251993.3169,2316,1623,12.69430052,7.043558851,2.782324059,93.48013817,85.61995598,14.38004402,2.895871842,16.01971657,0.0,0.0,0.0,85.85690516,31859,132600,1258,4.9,10.94890511,29.57685665,2374,1671,14.4966443,12.55265375,9.140767824,95.87194608,86.73539519,13.26460481,0.0,12.92639138,0.0,0.0,0.0,94.00921659,40066,187100,1658,4.8,13.77483444,31.80286436,1339.1470974449235,1372.6835964310226,938.443756111015,966.1981000995108,58,48,8207,54500,400,0,1,0,0
34,29,736002,39.6471817,-74.2845992,41.707316,89562.45515,242198.531,1556,748,2.442159383,1.739690722,0.466200466,94.2159383,92.38754325,7.612456747,1.336898396,22.72727273,2.884615385,0.0,0.0,91.07142857,85000,266400,1142,6.0,9.654350417,65.9591195,1660,797,4.939759036,2.289156627,3.644646925,96.62650602,86.00682594,13.99317406,2.007528231,26.47427854,0.357995227,0.0,0.357995227,93.67541766,88750,290400,1591,6.7,5.928411633,63.94849785,37.30760329914301,39.80117061476697,17.93450338544921,19.10935721684896,104,49,3750,24000,449,0,1,0,0
34,29,738001,39.6138123,-74.2369772,5.678886,88610.61461,282960.9994,2130,5952,2.910798122,10.51643192,6.338028169,98.68544601,92.14417745,7.855822551,22.31182796,81.82123656,3.250975293,4.421326398,0.0,82.70481144,78261,753500,1417,6.4,5.995203837,41.02311854,2272,5861,7.966549296,3.521126761,6.425702811,93.57394366,95.66020314,4.339796861,8.070295171,81.52192459,3.617021277,2.872340426,5.0,63.93617021,96924,889800,1328,6.7,6.255924171,50.28598665,375.0735619626807,400.07846609352606,1048.0928830055752,1032.068613456935,142,-91,18663,136300,-89,0,1,0,0
34,29,738002,39.5520215,-74.2455286,5.531044,65177.13064,285587.4982,1225,3638,2.693877551,5.882352941,5.205479452,97.95918367,87.63693271,12.36306729,29.41176471,82.43540407,0.0,3.872437358,2.050113895,84.51025057,76528,690200,1258,5.7,9.2,44.44444444,1300,3657,8.878504673,5.076923077,5.583756345,95.0,89.26829268,10.73170732,21.11019962,83.18293683,3.125,9.765625,0.5859375,64.0625,89931,849300,1615,6.2,6.794425087,49.86967854,221.47717501433726,235.03700205603138,657.7420103691094,661.1771665530052,75,19,13403,159100,357,0,1,0,0
34,5,700402,39.9600536,-75.0128186,1.78871,9976.416977,40869.4691,3468,1303,3.950403691,4.005979073,2.351738241,92.47404844,91.50485437,8.495145631,3.760552571,5.141980046,2.777777778,0.480769231,0.480769231,94.23076923,75789,190600,1250,6.2,9.016393443,72.93258054,3715,1418,4.077669903,6.00269179,2.75862069,83.12247645,87.09449929,12.90550071,9.379407616,0.0,2.158634538,0.0,0.0,92.2188755,73850,198600,1090,6.1,0.694100149,67.14380826,1938.8274231149824,2076.9157661107724,728.457938961598,792.7500824616623,247,115,-1939,8000,-160,0,1,1,0
34,5,700503,39.9715825,-74.9541017,4.508707,16564.18725,52518.35164,3717,1411,7.82889427,3.255313425,2.341463415,76.19047619,91.15853659,8.841463415,9.42593905,7.016300496,1.882352941,0.941176471,0.0,93.52941176,141667,544100,731,9.0,6.345848757,68.91399417,3377,1383,7.056033205,7.225347942,3.783783784,73.31951436,87.66025641,12.33974359,10.26753435,9.761388286,4.41426146,2.6032824,2.150537634,81.38087153,160435,516400,781,8.2,2.296336796,67.86641929,824.4048681806114,748.9952219117365,312.9500320158307,306.73982585251156,-340,-28,18768,-27700,50,1,0,0,0
34,5,701102,40.0549954,-74.8302096,10.715781,5647.417917,96173.90409,5411,1850,8.242469045,6.070661722,4.810126582,64.978747,81.71007928,18.28992072,17.51351351,4.540540541,6.729323308,1.052631579,0.0,88.64661654,107188,278600,937,6.9,11.3120684,71.72169811,5804,2333,7.423269094,15.17918677,2.712609971,50.36181943,70.93902982,29.06097018,25.41791685,3.686240892,1.029463969,1.171458999,0.0,82.67660632,90434,295400,1087,6.4,4.09215956,60.83682008,504.95619498009523,541.6310766336117,172.64257266922496,217.7162821823253,393,483,-16754,16800,150,0,1,1,0
34,19,10300,40.7045232,-74.9500021,7.907253,12776.69586,257646.2825,2773,1377,7.753335737,6.338797814,3.217503218,90.11900469,68.51265823,31.48734177,42.91938998,8.206245461,1.846785226,0.205198358,0.0,95.28043776,66875,220600,1120,5.4,9.090909091,69.41522928,2641,1282,7.421576129,5.376751231,4.457652303,86.06588413,70.15926236,29.84073764,33.54134165,6.942277691,2.260273973,0.479452055,0.0,86.23287671,77375,256700,1260,5.4,4.487179487,70.01795332,350.69068866267463,333.9971542582487,174.14391571889757,162.12962959450013,-132,-95,10500,36100,140,1,0,0,0
